file,size,q,progressive
10814.jpg,28894,82,1
10815.jpg,71156,100,1
10816.jpg,7805,97,1
10817.jpg,98778,100,1
10818.jpg,7926,82,1
10819.jpg,372659,94,1
1082.jpg,155302,55,1
10820.jpg,10805,90,1
10821.jpg,5337,94,1
10822.jpg,182834,72,1
10823.jpg,155156,85,1
10824.jpg,56043,89,1
10825.jpg,152535,90,1
10826.jpg,27566,90,1
10827.jpg,17490,85,1
10828.jpg,2178,80,1
10829.jpg,10759,94,1
1083.jpg,14215,0,1
10830.jpg,50952,69,1
10831.jpg,140302,92,1
10832.jpg,212597,91,1
10833.jpg,7092,82,1
10834.jpg,11886,85,1
10835.jpg,196934,99,1
10836.jpg,271579,92,1
10837.jpg,40110,82,1
10838.jpg,446554,99,1
10839.jpg,113547,92,1
1084.jpg,32216,80,1
10840.jpg,6621,99,1
10841.jpg,26880,77,1
10842.jpg,298997,80,1
10843.jpg,277949,99,1
10844.jpg,23162,82,1
10845.jpg,169877,93,1
10846.jpg,166436,86,1
10847.jpg,37326,80,1
10848.jpg,13423,83,1
10849.jpg,53179,99,1
1085.jpg,32067,97,1
10850.jpg,12933,85,1
10851.jpg,77134,99,1
10852.jpg,80338,99,1
10853.jpg,44834,90,1
10854.jpg,83090,94,1
10855.jpg,90949,80,1
10856.jpg,48752,94,1
10857.jpg,2763,85,1
10858.jpg,34038,88,1
10859.jpg,18315,93,1
1086.jpg,11968,85,1
10860.jpg,63377,70,1
10861.jpg,46161,80,1
10862.jpg,38956,90,1
10863.jpg,16200,0,1
10864.jpg,14603,80,1
10865.jpg,17941,80,1
10866.jpg,31410,94,1
10867.jpg,47683,75,1
10868.jpg,3335,86,1
10869.jpg,91633,90,1
1087.jpg,5867,63,1
10870.jpg,3966,75,1
10871.jpg,174527,99,1
10872.jpg,21735,93,1
10873.jpg,119589,94,1
10874.jpg,12684,85,1
10875.jpg,17621,85,1
10876.jpg,13433,82,1
10877.jpg,47133,70,1
10878.jpg,4934,82,1
10879.jpg,6992,63,1
1088.jpg,89382,92,1
